run_date,hotel_key,check_date,price
2026-07-19,kai_yufuin,2027-01-01,78650
2026-07-19,kai_yufuin,2027-01-02,78650
2026-07-19,kai_yufuin,2027-01-03,78650
2026-07-19,kai_yufuin,2027-01-04,78650
2026-07-19,kai_yufuin,2027-01-05,78650
2026-07-19,kai_yufuin,2027-01-06,98450
2026-07-19,kai_yufuin,2027-01-07,98450
2026-07-19,kai_yufuin,2027-01-08,98450
2026-07-19,kai_yufuin,2027-01-09,98450
2026-07-19,kai_yufuin,2027-01-10,91850
2026-07-19,kai_yufuin,2027-01-11,91850
2026-07-19,kai_yufuin,2027-01-12,91850
2026-07-19,kai_yufuin,2027-01-13,91850
2026-07-19,kai_yufuin,2027-01-14,78650
2026-07-19,kai_yufuin,2027-01-15,78650
2026-07-19,enowa_yufuin,2026-11-01,370945
2026-07-19,enowa_yufuin,2026-11-02,370945
2026-07-19,enowa_yufuin,2026-11-03,375834
2026-07-19,enowa_yufuin,2026-11-04,375834
2026-07-19,enowa_yufuin,2026-11-05,375834
2026-07-19,enowa_yufuin,2026-11-07,361167
2026-07-19,enowa_yufuin,2026-11-08,361167
2026-07-19,enowa_yufuin,2026-11-09,361167
2026-07-19,enowa_yufuin,2026-11-10,361167
2026-07-19,enowa_yufuin,2026-11-11,361167
2026-07-19,enowa_yufuin,2026-11-12,370945
2026-07-19,enowa_yufuin,2026-11-13,361167
2026-07-19,enowa_yufuin,2026-11-14,361167
2026-07-19,enowa_yufuin,2026-11-15,361167
2026-07-19,enowa_yufuin,2026-11-16,361167
2026-07-19,enowa_yufuin,2026-11-17,361167
2026-07-19,enowa_yufuin,2026-11-18,361167
2026-07-19,enowa_yufuin,2026-11-19,370945
2026-07-19,enowa_yufuin,2026-11-20,370945
2026-07-19,enowa_yufuin,2026-11-21,370945
2026-07-19,enowa_yufuin,2026-11-22,370945
2026-07-19,enowa_yufuin,2026-11-23,370945
2026-07-19,enowa_yufuin,2027-01-03,400278
2026-07-19,enowa_yufuin,2027-01-04,370945
2026-07-19,enowa_yufuin,2027-01-05,370945
2026-07-19,enowa_yufuin,2027-01-06,370945
2026-07-19,enowa_yufuin,2027-01-07,370945
2026-07-19,enowa_yufuin,2027-01-08,370945
2026-07-19,enowa_yufuin,2027-01-09,375834
2026-07-19,enowa_yufuin,2027-01-10,375834
2026-07-19,enowa_yufuin,2027-01-11,366056
2026-07-19,enowa_yufuin,2027-01-12,361167
2026-07-19,enowa_yufuin,2027-01-13,361167
2026-07-19,enowa_yufuin,2027-01-14,366056
2026-07-19,enowa_yufuin,2027-01-15,361167
